epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1015.62,0.93142,1.33685,0.67115,0.92634,0.70598,0.71778,0.72543,0.57301,0.68815,0.6932,0.69994,0.49398,0.99336,1.49693,0.75015,1.01217,0.00153167,0.00153167,0.00153167
84,1027.93,0.91452,1.31564,0.62377,0.91375,0.73875,0.56856,0.64108,0.51853,0.77202,0.53021,0.62678,0.43571,0.95563,1.47339,0.70084,1.00301,0.00153002,0.00153002,0.00153002
85,1040.09,0.88664,1.27052,0.6,0.90543,0.79813,0.69015,0.77044,0.60484,0.78376,0.67242,0.75184,0.4996,0.96018,1.48251,0.69609,1.00291,0.00152837,0.00152837,0.00152837
86,1052.06,0.88322,1.26429,0.61016,0.90986,0.64796,0.74611,0.7453,0.57584,0.63476,0.72676,0.72658,0.48433,0.98023,1.55906,0.71579,1.01644,0.00152672,0.00152672,0.00152672
87,1064.1,0.90038,1.29914,0.59831,0.90945,0.69232,0.52533,0.6458,0.5112,0.70428,0.51208,0.63217,0.43912,0.95722,1.51013,0.70261,1.02247,0.00152507,0.00152507,0.00152507
88,1076.18,0.89881,1.27319,0.60766,0.91696,0.86801,0.57628,0.62998,0.49705,0.85895,0.55684,0.61006,0.40172,0.97275,1.46889,0.71926,1.00471,0.00152342,0.00152342,0.00152342
89,1088.24,0.87342,1.2418,0.59455,0.90725,0.6792,0.71897,0.7464,0.59841,0.66378,0.69826,0.72851,0.50624,0.96474,1.48413,0.69947,1.01393,0.00152177,0.00152177,0.00152177
90,1100.47,0.89941,1.30738,0.59694,0.90609,0.76255,0.4671,0.6622,0.52214,0.75703,0.46302,0.64697,0.42411,0.99117,1.55044,0.71638,1.02723,0.00152012,0.00152012,0.00152012
91,1112.51,0.89698,1.3266,0.60857,0.91165,0.71738,0.77256,0.77325,0.59236,0.70267,0.75054,0.75355,0.51435,0.95454,1.45315,0.68426,1.00432,0.00151847,0.00151847,0.00151847
92,1124.66,0.87109,1.24617,0.58798,0.90357,0.85898,0.57051,0.71239,0.5601,0.85344,0.55109,0.69309,0.46169,0.97085,1.52532,0.71321,1.01477,0.00151682,0.00151682,0.00151682
93,1136.58,0.90888,1.29678,0.62359,0.92461,0.81826,0.59121,0.72932,0.57393,0.80925,0.58053,0.71346,0.48825,0.94997,1.46121,0.70922,1.0068,0.00151517,0.00151517,0.00151517
94,1148.81,0.91441,1.27328,0.61529,0.90849,0.8168,0.64387,0.75771,0.59759,0.80718,0.63007,0.74225,0.53017,0.94389,1.47095,0.71062,0.99668,0.00151352,0.00151352,0.00151352
95,1161.16,0.88449,1.22703,0.60335,0.91128,0.80161,0.73537,0.79698,0.62608,0.78523,0.71433,0.77402,0.53339,0.96117,1.48535,0.71634,0.99777,0.00151187,0.00151187,0.00151187
96,1173.51,0.88567,1.23985,0.59201,0.90334,0.74069,0.65918,0.66902,0.54017,0.72903,0.64257,0.65257,0.46934,0.93822,1.44465,0.68962,0.99421,0.00151022,0.00151022,0.00151022
97,1185.56,0.87153,1.21657,0.57424,0.89745,0.61302,0.76892,0.7189,0.5663,0.59857,0.74912,0.7024,0.47206,0.98489,1.52088,0.68865,1.02004,0.00150857,0.00150857,0.00150857
98,1197.42,0.84822,1.20116,0.57688,0.9004,0.66984,0.77505,0.74269,0.59021,0.65462,0.75856,0.72356,0.49667,0.9528,1.46388,0.68474,1.01279,0.00150692,0.00150692,0.00150692
99,1209.66,0.85408,1.19146,0.56555,0.89907,0.7956,0.8304,0.82052,0.63815,0.82794,0.74363,0.79734,0.55719,0.95972,1.46395,0.66345,1.00309,0.00150527,0.00150527,0.00150527
100,1222.1,0.89045,1.23789,0.56887,0.90482,0.79307,0.79802,0.81517,0.66022,0.78144,0.78251,0.80259,0.56597,0.94071,1.48858,0.65738,1.00161,0.00150362,0.00150362,0.00150362
101,1234.61,0.91327,1.25962,0.58164,0.90912,0.76319,0.65788,0.74893,0.58601,0.75128,0.64288,0.73595,0.51149,0.93925,1.45412,0.67425,0.99571,0.00150197,0.00150197,0.00150197
102,1246.41,0.91101,1.22272,0.58922,0.90961,0.82434,0.57051,0.72129,0.57722,0.82676,0.54427,0.69849,0.48221,0.95998,1.46224,0.67742,1.0077,0.00150032,0.00150032,0.00150032
103,1258.56,0.91141,1.26918,0.60002,0.91394,0.64367,0.7564,0.76943,0.6032,0.63124,0.73944,0.7538,0.52549,0.93771,1.45567,0.67292,0.99929,0.00149867,0.00149867,0.00149867
104,1270.57,0.87765,1.22361,0.58093,0.89875,0.76312,0.76013,0.78279,0.6058,0.74444,0.7367,0.75876,0.48935,0.9895,1.50416,0.67602,1.00823,0.00149702,0.00149702,0.00149702
105,1282.67,0.87246,1.23442,0.56748,0.89793,0.59353,0.8379,0.72553,0.57826,0.58215,0.82468,0.7112,0.50041,0.94168,1.44031,0.66886,1.00486,0.00149537,0.00149537,0.00149537
106,1294.8,0.89548,1.25895,0.58112,0.90575,0.59781,0.76927,0.73868,0.58133,0.58026,0.74504,0.71601,0.47197,0.97321,1.44852,0.67019,1.00108,0.00149372,0.00149372,0.00149372
107,1306.93,0.88665,1.24148,0.56723,0.90575,0.83701,0.67513,0.77085,0.60531,0.82476,0.6588,0.75589,0.52158,0.95774,1.50326,0.6609,1.02071,0.00149207,0.00149207,0.00149207
108,1318.76,0.85625,1.20153,0.55327,0.90699,0.56863,0.80739,0.74756,0.60484,0.83698,0.5564,0.73036,0.50777,0.97116,1.47144,0.68542,1.0178,0.00149041,0.00149041,0.00149041
109,1330.95,0.88153,1.23549,0.5769,0.8986,0.78026,0.73004,0.81326,0.64515,0.77047,0.71779,0.79866,0.56257,0.91662,1.43351,0.66615,0.98829,0.00148876,0.00148876,0.00148876
110,1343.15,0.87508,1.21041,0.56749,0.89072,0.73806,0.79356,0.83807,0.67056,0.72184,0.76786,0.8136,0.55322,0.96868,1.44991,0.67806,1.00916,0.00148711,0.00148711,0.00148711
111,1355.37,0.87865,1.22121,0.58738,0.90176,0.81836,0.71619,0.82412,0.66001,0.8071,0.70377,0.80832,0.57153,0.93906,1.4534,0.66961,1.00531,0.00148546,0.00148546,0.00148546
112,1367.9,0.84414,1.19895,0.57216,0.89567,0.83723,0.77915,0.83148,0.66142,0.82176,0.75976,0.81368,0.56174,0.95091,1.48956,0.65381,1.00467,0.00148381,0.00148381,0.00148381
113,1379.94,0.8823,1.21733,0.56572,0.89547,0.73696,0.8508,0.84617,0.68017,0.72154,0.83121,0.82881,0.56282,0.94306,1.45382,0.65407,0.99547,0.00148216,0.00148216,0.00148216
114,1392.29,0.86629,1.16576,0.58719,0.88698,0.68909,0.76916,0.80321,0.63718,0.67307,0.7493,0.78497,0.52457,1.00437,1.48627,0.71307,1.03268,0.00148051,0.00148051,0.00148051
115,1404.41,0.865,1.19563,0.57679,0.91732,0.69611,0.87922,0.82357,0.64095,0.68476,0.86483,0.80846,0.55174,0.95213,1.45452,0.67034,1.02309,0.00147886,0.00147886,0.00147886
116,1416.49,0.9013,1.25867,0.59178,0.91262,0.69823,0.82801,0.8009,0.62386,0.68208,0.80839,0.77942,0.52293,0.96271,1.4752,0.68989,1.00902,0.00147721,0.00147721,0.00147721
117,1428.44,0.85246,1.18016,0.57363,0.89516,0.72424,0.71033,0.77578,0.61029,0.71318,0.69648,0.76021,0.51948,0.96425,1.47675,0.69516,1.01855,0.00147556,0.00147556,0.00147556
118,1440.6,0.8669,1.17899,0.56766,0.90453,0.90049,0.60666,0.74662,0.58442,0.89657,0.5948,0.73014,0.49119,0.95953,1.44297,0.68033,1.01433,0.00147391,0.00147391,0.00147391
119,1452.68,0.85667,1.15548,0.55937,0.89783,0.81659,0.62804,0.74211,0.58216,0.80233,0.61257,0.72558,0.49622,0.94526,1.4329,0.65878,1.01026,0.00147226,0.00147226,0.00147226
120,1464.71,0.86712,1.19296,0.55657,0.90203,0.67855,0.79893,0.76806,0.60993,0.66453,0.7818,0.7515,0.49926,0.94898,1.42335,0.66666,1.01567,0.00147061,0.00147061,0.00147061
121,1476.85,0.82106,1.14662,0.54111,0.89166,0.65608,0.74433,0.7854,0.62275,0.64107,0.72764,0.7677,0.52107,0.92446,1.41928,0.65944,1.00275,0.00146896,0.00146896,0.00146896
122,1488.67,0.80255,1.12843,0.54363,0.89047,0.70701,0.84962,0.82609,0.65029,0.69321,0.83267,0.81036,0.52674,0.97225,1.47361,0.67695,1.0156,0.00146731,0.00146731,0.00146731
123,1500.61,0.84786,1.19135,0.55871,0.89541,0.78022,0.83499,0.84145,0.68412,0.76388,0.81599,0.82332,0.58742,0.92787,1.44692,0.64328,1.00824,0.00146566,0.00146566,0.00146566
124,1513.21,0.86292,1.17105,0.55611,0.88705,0.74754,0.83078,0.83187,0.64828,0.73872,0.81385,0.81482,0.57034,0.93046,1.43649,0.65972,1.00613,0.00146401,0.00146401,0.00146401
125,1525.04,0.85269,1.15261,0.54807,0.89196,0.81477,0.7359,0.83186,0.63636,0.80292,0.72129,0.81521,0.54903,0.93228,1.43134,0.64819,0.99949,0.00146236,0.00146236,0.00146236
